name,description,country,founding_date,relevancy
"White Lake Dock & Dredge, Inc","White Lake Dock & Dredge has been specializing in environmental dredging since 2002. With a specialized fleet of equipment, White Lake is able to tackle any size environmental dredging or capping project regardless of location or difficulty of access. In addition to environmental dredging & capping, White Lake offers a wide range of marine services ranging from sample collection to marine construction.",United States,2002-01-01,0
Pier Hole Protector,"Excavation Protection Solutions is the creator of the Pier Hole Protector.

A heavy-duty polypropylene cover that completely secures the top of a freshly excavated pier hole until concrete is poured.

4 teeth secure it into the surrounding ground ensuring it does not move.

Eliminates the risk of falls into the pier hole, rubbish and debris entering, and the risk of the hole filling with water from unexpected weather or other forms of direct water flow.

""Because Accidents Hurt. Safety Doesn’t.""",Australia,2019-05-24,1
Colono Gourmet,"Colono Gourmet is a food distributor and restaurant food supplier of more than 30 producers of excellent Spanish food products.

The role of Colono Gourmet is to offer an optimized, highly innovative service to hotels, restaurants, caterers and deli shops around Europe (and then the world) who are interested in importing and purchasing fine gourmet foods made in Spanish.

Colono Gourmet is intended to become the best connection between quality products and restaurants.

There are no expensive products, but unfair prices...

At the present time, it is not easy for a restaurant, catering or deli shop to find the best products on the market. If they find them, prices are ridiculously expensive. Therefore, they have to survive with the limited product portfolio of their current suppliers.
Colono Gourmet solves this serious problem through a business model which allows you to obtain the best Spanish products, as fresh as posible, in a fast and secure way.

ACQUIRING ARTISANAL PRODUCTS WITH ORIGIN

The origin is essential in Colono Gourmet’s philosophy. Colono product is the result of a local manufacturing culture, with artisans who have been improving their methods for many years.

It is not easy to find these producers. That’s why, we have traveled thousands of kilometers to gather them together. The effort has been worthwhile because we can currently state 

Colono has the best Spanish product selection in the world.

INCREASING QUALITY

We seek out experienced producers, people whom we trust. We do not cover anything, but on the contrary: we are proud of our partners; we enhance the work of the people behind each raw material.

SAVING TIME

Colono Gourmet is a digital platform designed by professionals for professionals. We know that time is one of the most precious actives for any professional. Colono Gourmet keeps improving day-by-day in order to give you the chance to place your orders regardless of your location.

OPTIMIZING WHAT YOU SPEND

In Colono Gourmet we want to be clear regarding the purchase prices. Any professional can see the best price of all the products all the time, and the linked costs with its transportation. In addition, as we deal directly with suppliers through one platform all across Europe (with no additional intermediaries), we can guarantee that we offer the best prices on our products.",Spain,2015-12-22,0
Chain.io,"Chain.io's integration platform enables the logistics industry to provide a seamless digital experience that consumers demand by connecting partners through reusable, best practice integrations.",United States,2017-01-01,1
"Xpert Fulfillment
Xpert Fulfillment",Xpert Fulfillment want to help you with your fulfillment needs. Put more focus into your business and let us handle the rest. Their prices beat our competitors and their simple web based ordering system makes it easy to get your orders shipped quickly and efficiently. Get in touch with Xpert Fulfillment today to get started.,United States,2005-01-01,0
SchultePL,"Schulte has more than 40 years is considered a leader in the production of innovative heating systems.
Our Crown products are organic and very efficient heating equipment designed to heat large areas such as factory halls, warehouses, large-area, workshops, shipyards, sports halls or logistics centers, exhibitions and similar objects.",Germany,1983-01-01,0
China New Borun,"China New Borun Corporation (""Borun"") is a leading producer and distributor of corn-based edible alcohol in the People's Republic of China based on tons of edible alcohol produced. Borun currently owns and operates two facilities, one in Shouguang, Shandong province and the other in Daqing, Heilongjiang province. These locations have a stable supply and lower cost of corn, our primary raw material. Our Shouguang facility occupies a site area of 183,565.81 square meters, has 481 full-time employees and an annual production capacity of 160,000 tons of corn-based edible alcohol. Our Daqing facility occupies a site area of 219,156 square meters, has 563 full-time employees and is licensed to produce 330,000 tons of corn-based edible alcohol.",China,2000-01-01,0
Revit,"Revit is a software solution to design, analyze & collaborate on building information modelling and 3D models. It is targeted at architects, structural engineers, MEP engineers, and construction professionals. It enables users to design models, visualize/conceptualize them, evaluate how well they conform to building regulations, collaborate with various parts of designs, evaluate constructability before beginning construction, and more. It offers a yearly subscription-based pricing model.",United States,1997-01-01,2
Mia.vn,"Founded in 2014, through 5 years of construction and development, MIA.vn has now become the leading genuine suitcase system in Vietnam with 16 supermarkets distributed in Hanoi and Thanh. Ho Chi Minh City.",Vietnam,2014-01-01,0
Peachtree Tents & Events,Peachtree Tents & Events believes in: Being kind and respectful | An unwavering attention to detail | Working hard and having fun | Contributing to our community | Encouraging life balance for all of their team,United States,2006-01-01,0
Insulation Fabricators,"Insulation Fabricators Inc. (IFI) is a leading fabricator and distributor of thermal and acoustical insulation products for the industrial and commercial markets. They serve as a single source for all the fabricated and distributed pipe, vessel, vent and HVAC insulation products and materials needed by insulation installers, contractors and abatement professionals. They are committed to providing only the highest-quality products at a great value with unparalleled customer service.

Their experienced customer service team, averaging 10 years of experience, answers the phone when you call and has the knowledge to help you get the right products for your specific application. Their experienced driver team and 16-truck fleet maintains a proud track record of next-day service to customers in our delivery areas with complete and on-time delivery rates exceeding 95%. We can normally send you everything you need, when you need it, in a single truck—so you can keep your crews working and your projects on schedule.",United States,1979-01-01,0
Truckish,"Truckish is a comprehensive SaaS platform that integrates the tools that trucking companies need into a single, convenient, and affordable system.

Problem: 
Although carriers with fleets of 20 trucks or less make up over 92% of all trucking companies in the United States, they must compete with larger fleets without the benefit of the premium-priced software tools and economies of scale savings available to their more resourced competitors. Thus, many carriers juggle multiple software subscriptions and/or manual processes to carry out their day-to-day fleet and business operations. Synthesizing the various outputs from separate tools costs small business owners time and money that could be better utilized elsewhere.

Solution:
Truckish’s Fleet Management Solution saves carriers time and money by integrating the tools they need into a comprehensive SaaS system that is affordable to the average trucking company. These tools include dispatch, vehicle diagnostics, tracking and maintenance, ELD and Hours of Service compliance, IFTA calculations, contacts management, and accounting with easy integration to QuickBooks and payroll systems. 

Carriers use the Truckish web platform to manage their customers, team, and assets. Our automated workflow seamlessly facilitates every load from dispatch through to invoicing and driver payroll. Drivers connect to the platform via the Truckish mobile app, where they monitor their assignments, track their hours of service, and manage load documentation and contacts. And with Truckish plug and play hardware installed in their trucks, carriers can view real time data and diagnostics on their vehicles while maintaining compliance with the latest government ELD mandate.

Truckish streamlines carriers’ operations, increasing their productivity and reducing their overhead, so that trucking companies can focus on growing their businesses.",United States,2017-07-26,2
Limeloop,Limeloop is operates a packaging and shipping platform.,United States,2017-01-01,1
Surya Semesta Internusa,"PT Surya Semesta Internusa Tbk is an Indonesia-based company primarily engaged in provisioning construction services. Through its subsidiaries, it runs three business units: property development and management, construction and hospitality. The Company operates its property business through PT Suryacipta Swadaya (SCS), PT TCP Internusa (TCP) and PT Sitiagung Makmur (SAM); SCS develops and manages Kota Industri Suryacipta, an industrial estate in Karawang, Indonesia; TCP develops Tanjung Mas Raya, a residential complex in Jakarta, Indonesia and manages Graha Surya Internusa, a commercial building in Kuningan, Indonesia; SAM develops Banyan Tree Ungasan Resort in Bali, Indonesia.",Indonesia,1971-01-01,0
Quotiss,"Quotiss is a Sales Automation Software for logistics. Quotiss is an optimal choice for any freight forwarder, who wants to simplify, digitize and automate their sales process and sell more, faster. 
",United States,2016-01-01,2
FYF,FYF is an IT infrastructure company,Japan,2007-12-01,0
Ferrill’s Auto Parts,Ferrill’s Auto Parts operates as an automotive recycling company.,United States,1954-01-01,0
Mapiliary,"Mapilary does real-time tracking and online visualization of people and goods on map. Number of value added services gives our customers competitive advantage in logistics and parcel delivery business. 

Mapilary was chosen by Telefonica to become part of WAYRA family in Prague. We are proud that Telefonica and other global digital market players presented in the jury, gave us the credence. They decided to invest in Mapilary and it's innovative ideas. We'll spend the next six months in WAYRA accelerator in Prague - interacting with other start-ups, as well as professionals in the digital world.",Slovakia,2013-01-01,0
iShipdit,Expedia-like platform for matching less-than-truckload (LTL) shipments to unused space that exists on trucks every day.,United States,2015-01-01,0
Multibuild Ltd.,Multibuild Ltd is specialising in the construction and fit-out of hotel and leisure facilities.,United Kingdom,1983-01-01,0
DoDo,"DoDo is the smart delivery service specializing on last mile and same-day delivery of goods to the end customer. DoDo is currently the technological leader with its data-driven solution and agile processes. We already managed to ensure long-term contracts and pilot projects with multiple high-profile retail and gastro customers ensuring us a substantial turnover growth and margins. Considering DoDo as the project with the highest potential, we plan to invest in its SW system architecture to further optimize the delivery process based on big data, AI and automatization. The goal is to be the prime provider with its scalable solution. Same-day-delivery is expected to be an important service for all retail players and DoDo plans to continue with an acquisition of these clients especially in the Central European region.
We already managed to ensure long-term contracts and pilot projects with multiple high-profile retail and gastro customers ensuring us a substantial turnover growth and margins. The indisputable advantage is easy implementation into the existing solution. Our flexible procedures and processes are easily adaptable to meet exactly what partner´s business needs. DoDo has own infrastructure: 150+ cars, 300+ couriers.",Czech Republic,2015-12-01,0
Stormcharge Limited,Stormcharge develops and distributes command and control systems for autonomous vehicles. It was founded in 2013 by Alex Newman and Markus Kantonen and is based in London.,United Kingdom,2013-01-01,0
3Developers,3Developers is a property development company which has developed a 3D printing technology called 3Dbuildingprint for construction industry. The company is developing a 3D printer based on their proprietary technology which will be able to extrude concrete layer by layer to produce the structures.,United Kingdom,2014-01-01,2
Beyon3D,Beyon3D is a multidisciplinary building technology company. Currently developing digital manufacturing system based on the use of industrial robotic arms and custom made software tools and hardware to make the construction of building faster and cheaper regardless of scale and geometric shape.,Israel,2011-01-01,1
Carrier Mobile,Carrier Mobile offers a mobile-phone based logging and tracking platform capable of solving many common problems faced by the modern North American transportation and logistics industry.,United States,2009-05-01,1
FDC Vitamins,"The FDC line of vitamins and nutritional supplements offers a simple plan: Create quality supplements, offer them at a fair price, and build customer loyalty through confidence and value-added service.",United States,2007-01-01,0
Vecna Robotics,Vecna Robotics is a recognized leader in robotics.,United States,1998-01-01,1
Alliance Fire Protection,"Alliance Fire Protection began operations as a fire sprinkler company, and quickly earned a reputation for high quality workmanship. Through the years the company has expanded into all aspects of commercial and industrial fire protection, but the drive for quality still lives in all aspects of operations. Today, Alliance is truly a full service fire protection company. We are proud to offer the following: design and engineering, sprinkler fabrication, installation, service and inspections, off-site monitoring, and training programs.",United States,1981-01-01,0
Oregon Electric Group,"Oregon Electric Group, engages in the electrical contracting business. It provides pre-construction, design/build, after-care, maintenance, upgrade, and small project services. The company focuses on various projects in the areas of high tech, commercial, industrial, healthcare, airport, voice/data, and multi-family facilities.",United States,1947-01-01,0
Wells Rural Electric Company,"Wells Rural Electric Company provides electrical service to over 10,000 square miles.",United States,1958-01-01,1
BuildIT,"BuildIT is a web-based construction scheduling software for contractors and speciality trades. Some of the features include schedule templates, group scheduling, Gantt charts, document management, and creating notes. Pricing varies from $48 per month to $144 per month. Some of the customers include Jeff Benton Homes, GeoTility Corporation, C&amp;S Construction, Rommel Homes, etc.",Canada,2000-01-01,2
Nikkei Information System,"The computer division established in 1954 by Nippon Light Metal Co., Ltd.",Japan,1954-01-01,0
GSE Group,"GSE Group is a provider of complex turnkey facilities for large logistics and distribution companies. The company simplifies the process of expanding and building new facilities for its customers by taking the full ownership of the project from conception to delivery, offering a fixed price and project deadline. Its service offering encompasses real estate consulting, engineering, and after-sales services.

GSE Group was founded on 1976 and is based in Avignon, France.",France,1976-01-01,0
HighRes Biosolutions,"We love automation. We design and build innovative robotic systems and laboratory devices used by pharmaceutical and biotech companies and academic research laboratories. HighRes helps scientists accelerate such areas as drug discovery, high-throughput genotyping, siRNA screening, next-generation sequencing sample prep, biorepository science, molecular diagnostics, and more. We offer highly flexible, expandable and modular integrated systems and bench-top devices that are easily configured (and reconfigured) for fast-paced, dynamic laboratories.",United States,2004-01-01,1
Music Kickup,"Music Kickup is an artist representative and technology company focused on building tools and services to empower musicians and the music industry as well as to encourage global collaboration and business.

The company creates products to connect artists, labels, and the industry with distribution, resources, artist development, and technology. It offers a digital distribution platform for musicians to sell, analyze, and promote their music online. It partners with many digital music stores, including iTunes, Google Play, YouTube, Spotify, Deezer, Rdio, WiMP & Tidal, Xbox Music, Line, and more.

Music Kickup was founded in 2011 and is headquartered in Helsinki, Finland. It also has operations in New York, Singapore, London, and Shanghai.",Finland,2011-01-01,0
Steven Parc Technische Specialisten,"Steven Parc Technische Specialisten is provides technical project services for oil, gas, power, building, and civil industries. It offers services in the areas of civil and structural, constructive TAR, electrical and instrumentation, electrical, HVAC, instrumentation, IT, mechanical, piping, and process engineering projects.",Netherlands,2002-01-01,1
Daqri,"Daqri offers an enterprise-class AR solution designed to empower organizations to visualize technical assets interactively in 4D, with a cloud-based data system to support all efforts. 4D incorporates augmented reality and other technologies to add a new dimension to any environment via mobile and wearable devices. Daqri 4D Studio empowers design teams to create augmented reality, with no coding necessary. Designed a smart helmet which is poised to increase efficiency, productivity and safety of the workforce. Acquired Melon, a wearable tech startup in Feb'15 and ARToolworks which develops a library for AR app development in May'15.",United States,2010-01-01,2
Vieweet,"Vieweet, formerly Virtual View App, provides VR technology for the Real  Estate industry. Using 3D modeling, enables end-users view videos, photo gallery, 3D floor plans and 3D houses in VR, when they scan an image. Clients are real-estate agents &amp; home builders, including Mitchel Graham, Thomas Morris, Preston Baker among other major brands. Won Barclays Techstars Accelerator Programme in June'14. Sponsored by PayPal, Rackspace, and Amazon. Costs clients $240/yr, which includes 20 live virtual tours. Also, provides fish-eye lens kit for $199.",United Kingdom,2014-01-01,2
Smart Remaps,"Smart Remaps (Manchester) in association with the award winning Viezu Technologies are the UK’s leading ECU Remapping specialists. Whether you are looking for better fuel economy, more power or both you can be rest assured that our customised vehicle ECU remapping services will give results beyond your expectations. With our no quibble 14 day money back guarantee and insurance backed guarantee you also have that piece of mind.
 
Smart Remaps also offer a mobile service as well as a workshop service. S o if you reside in and around Manchester, near area's such as Liverpool, Bury, Rochdale, Blackburn, Preston, Cheshire or within a 35 mile radius then we can come to you.
 
UP TO 20% ON FUEL SAVINGS
UP TO 35% MORE POWER AND PERFORMANCE
ENHANCED SHARPER THROTTLE RESPONSE
GREATER TORQUE
SMOOTHER, MORE PROGRESSIVE DELIVERY OF POWER
IMPROVED DRIVABILITY
 
Smart Remaps tuning services are carried out using some of the very latest and most advanced ECU remapping/chip tuning tuning software available. Our development engineers are among the world's leading experts in the field of vehicle tuning. Our tuning programmes have been developed and tested to deliver the very best results – We leave nothing to chance.
 
We develop our tuning programmes in laboratory conditions on real vehicles, where dynamometer and emissions readings allow us to verify our figures. We then test the results of our work on the roads in real life conditions for many hundreds of miles – nothing is left to chance. Our tuning services, and in particular our Blue Optimize economy and carbon reduction tuning is also Multi Award winning and is internationally recognised as industry leading.
 
We are pioneers in tuning engines for enthusiastic drivers. No one else has invested the time, money and effort into research and development or has the technological know-how that only 27 year’s experience can bring. Leading car manufacturers trust us as the market leaders, recognising our proven skills in engine tuning and ECU Remapping.",United Kingdom,2011-08-31,0
Attento - Portaria Inteligente,"Attento has emerged to offer the best in Remote Portaria, through projects and installation of imaging systems, automation, communication and access control. The company is formed by professionals with vast experience in this segment, with capacity to create the solutions that best meet the needs of each client. The projects are carried out on a case by case basis, with exclusive dedication, Attento prioritizes quality and safety in the delivery of services, performing service with efficiency, clarity and punctuality. The company is headquartered in São Caetano do Sul / SP with a physical structure to guarantee 24-hour service 365 days a year.",Brazil,2018-01-01,0
JobSite To Go,"Jobsite To Go is a web and mobile application for construction contractors to record and track costs related materials, labour, time. Users can capture expense data through the mobile app, track the job progress using multimedia supported site diary, record payments and adjustments, and automatically create 18 kinds of reports.",Canada,2012-01-01,0
Hollard Insurance,"Hollard Insurance is an insurance agency selling house,car,business and funeral insurance. Hollard Insurance personal insurance products include funeral, life, car, household, legal plan, and building insurance products; and home warranty products, as well as extended car warranty solutions.",South Africa,1980-01-01,0
BWB Consulting,"BWB Consulting is an integrated engineering and environmental consultancy that delivers multi-disciplinary engineering solutions to the property, development and construction industry. BWB Consulting provides over 70 services, in 15 sectors to an international client base.

It offers building and built environment services ranging from designing new buildings to adapting, refurbishing, and maintaining existing building stocks; and from initial feasibility study to planning, detailed design, construction, routine maintenance, decommissioning, and demolition services for public and private sector development projects. Its environment services include advisory, investigative, design, and validation services relating to various aspects of the ground and water environment. The company also provides transport and infrastructure services, which include planning and designing multi-modal transport infrastructure. It serves industrial and manufacturing, education, retail, leisure and hospitality, residential, distribution, energy and carbon, retail, urban regeneration, commercial, health, public, culture and heritage, road and rail, finance and investment, and water environment sectors. 

The company was founded in 1990 and is based in Nottingham, United Kingdom. As of July 12, 2017, BWB Consulting Limited operates as a subsidiary of Construcciones y Auxiliar de Ferrocarriles, S.A.",United Kingdom,1990-01-01,0
Minha Construção,"Minha Construção is a retail platform that helps consumers to build, remodel or decorate. The platform was founded in 2016 and is based in Brasilia, Brazil.",Brazil,2016-01-01,1
CarShield,CarShield is a company that offers several car service plans to suit your needs.,United States,2005-01-01,0
Direct Connect Auto Transport,"We are a Auto Transport company that has been established over 19 years servicing the Auto Auctions, Ebay buyers around the country.",United States,2000-10-12,0
Taseron Bankasi,Taseron Bankasi is an innovative and different platform which brings together a professional and reliable construction subcontractors.,Turkey,2013-01-01,0
Greene Group,"Greene Group provides staffing and workforce solutions for distribution, manufacturing, scientific, and transportation industries in the United States through its subsidiaries. Tana Bateman-Greene and Mike Greene founded it in 1988. 

Greene Group has its headquarters in Cornelius in North Carolina. It has additional offices in the United States.",United States,1988-01-01,0
Load-Me,"The Middle East transportation industry mainly relies on close contacts and past experience to get business, this problem often limits the scope of their services to certain locations, routes, or customers. Running on the roads with an empty truck is not environmental at all. 
www.Load-Me.com is matching trucks and loads in real time through its online portal. It is a dynamic and unique website in Middle East, a transportation service provider can find available load that matches the available type of truck in real time. This way they are helping carriers, brokers and shippers excel in the trucking industry. 

This whole process is made easy with the help of a user friendly website which is clear and nice to browse. Transporters have to post a truck and its data, and matching freight owners will contact him directly, in the same way shippers can post loads and available transporters will contact them.",United Arab Emirates,2014-09-01,1
Premier Roof Systems,"Premier Roof Systems offer design, manufacture, supply and installation services for Conservatory Roofs, Roof Lanterns, Roof Windows, Windows and Doors to both trade and domestic.",United Kingdom,2011-03-30,0
FTA Holdings LLC,FTA Holdings LLC is a provider of construction and engineering services.,United States,2004-01-01,0
Celadon Logistics,"Celadon Logistics is a non-asset based brokerage and 3PL provider, offering a full spectrum of non-asset transportation.",United States,2007-01-01,1
Robot Security Systems,"Robot Security Systems (RSS), a 100% subsidiary of Robot Robots Company, combines two passions: knowledge of safety and security and state-of-the-art technology. RSS’ most compelling product is SAM, its mobile security robot. SAM is an acronym for Secure, Autonomous and Mobile, and is the number one solution for security issues in logistics and data centres, public venues and parking garages.",Netherlands,2013-01-01,1
Shaylor Group,Shaylor Group is a regional contractor with a national presence.,United Kingdom,1969-01-01,0
Mirakle Couriers,"Mirakle Couriers is an Indian courier agency that offers shipping services across the world using deaf people. It employs low-income deaf men and women to deliver goods to local, domestic, and international destinations.

Mirakle Couriers was founded in 2009 and is based in Mumbai, Maharashtra.",India,2009-01-01,0
Rivigo,"At Rivigo, They are a technology company that is building the material movement pipeline of India and making logistics human, faster, safer and cost-effective through a globally unique innovation, enabled by a strong interplay of technology, data, culture and operations excellence.

Founded in 2014, they have been transforming the sector with their global-first driver relay model and cutting-edge technology to consistently provide unparalleled delivery times and reliability to their clients. The model also helps ensure that each of their truck drivers, the pilot, now spends less time away from his family, thereby leading a life of meaning, dignity and respect.

Their full-stack logistics offering includes relay-led trucking and freight marketplace. Relay delivers express logistics across full truck load, part truck load and cold chain logistics. Clients leverage 50-70% reduced Turnaround Time (TAT) and higher reliability to reinvent their business models – serving new markets, reducing inventory and significantly cutting costs.

RIVIGO Freight is India’s largest digital trucking marketplace. Clients can post or add full truckload requirements and get truck supply with a single click at best spot market rates. They empower numerous shippers and fleet operators to optimize their fleet and achieve maximum results and aim to bring a positive impact across the freight ecosystem by making it fully digital and transparent.

RIVIGO Labs, their technology think-tank is home to the country’s best data scientists and engineers. The team has built multiple ground-breaking technology applications in logistics to fundamentally transform the sector. From building algorithmically complex models to accurately predict the life journey of a consignment to creating a dynamic pricing engine for India’s largest freight marketplace, the team is working on hundreds of never-done-before problems at scale.

They are contributing to building the new India by defining the next-generation trucking industry. With accurate predictions, high levels of efficiency, simple automated operations, and a strong and pure mission, they are re-imagining logistics for India and the world.",India,2014-01-01,1
Rolly,"Rolly is the ""friend-to-friend"" delivery network. A mobile-first application and P2P logistics platform, capitalising on existing spare capacity in vehicles already on the road and connecting them with people wanting to send items. Leveraging the millions of cubic feet of unused space already in transit, Rolly's drivers (Rollers) will create the UK's largest shipping network, available 24/7, 365 days a year. 

Rolly attacks the outdated logistics industry head-on, combatting the heavy costs and obsolete systems of traditional companies allowing users to send goods quickly, easily and cheaply. The app enables users to request a pick up of any item (size or shape) within seconds, sending it same-day at a drastically reduce price without adding any additional vehicles to the road.


Rolly: Send Happy",Burma (Myanmar),2015-05-01,1
Tbilisi car rent,Cheap car rent in Tbilisi,United States,2005-11-15,0
Norfolk Southern Corporation,"As a leading transportation provider, Norfolk Southern operates 20,000 route miles in 22 states and D.C., supports international trade with service to every major Eastern seaport, 10 river ports, and nine lake ports, and operates the most extensive intermodal network in the East. 

NS' board of directors and executive management team lead one of the nation’s top transportation companies. NS invests in projects to expand the rail network, increase freight capacity, and improve efficiency for customers. These projects create jobs and reduce greenhouse gas emissions, making green shipping a reality.",United States,1980-07-23,0
Ingeniør Per Ødemark,Ingeniør Per Ødemark is offers electrical engineering services.,Norway,1960-01-01,0
Steel & Alloy,"Steel & Alloy Processing Limited engages in steel processing and manufacturing of steel products. The company was incorporated in 1968 and is based in West Bromwich, United Kingdom. The company operates as a subsidiary of Steel & Alloy Holdings Ltd.",United Kingdom,1968-01-01,0
Pahrsek,"""Pahrsek"" is a play on the word 'parsec' which is the largest unit of distance. It reflects their intention to provide fleet companies with technology solutions allowing them to go the extra mile.

Their mission to enable fleet companies with technology tools goes with their passion to help transform the industry.

They believe that the true measure of their value is not when they have more fleets onboard, but when the public experiences better and consistent quality service through their partners.",China,2014-01-01,0
Ventures Onsite,"Ventures Onsite provides an online database of future, current and completed construction projects on a subscription basis, helping contractors, subcontractors and suppliers to find new project opportunities. Tracks construction projects in Middle East and North African (MENA) countries. Has offices in UK, Canada, Kuwait and Tunisia. Has a mobile app, GoProjects!, for tracking projects on android and iPhone devices.",United Arab Emirates,1997-01-01,0
Crocodile Clips,"We, Gaurang Auto Manufacturers(GAM) known as a most reliable manufacturer of different types of electronic component. We offer to test and measuring electronic products at industry best prices and available in various sizes, designs, and shapes. We have a very strong distribution network which has helped us in delivering the offered range of electrical component, battery charging etc at the customers’ end within the assured time frame without delay. By accepting different modes of payment, we have been able to win the trust of our valuable customers thus help us to maintain a long-term relationship.",United States,2008-01-06,0
Cubyn,"Cubyn picks your stuff up at your place, packages it and ships it for you to any destination worldwide.

Cubyn allows any e-retailer to benefit from the power supply of an Amazon from her living room , without obligation .",France,2014-01-01,1
My Limo Ride is one stop shop for all of your luxury Limousine transportation needs.,"My Limo Ride is one stop shop for all of your luxury transportation needs. Simply download our app, sign up then log in, add pickup and drop off location. You will see all available limos, estimated arrival time and rates. Pick one that meets your need and fit you budget.",United States,2015-02-01,0
Basecom,"Basecom is a 18 year old full service General Construction company. Our experience extends from interior renovation to ground up construction with a ""in-house"" full service electrical department. At present our largest construction project performed is valued at $8,500,000 , our ""sweet"" spot is projects ranging from $500,00 to around $4,500,000 on the construction side, our electrical department along with working on our construction projects will also bid on stand alone electrical projects for owners, and other general contractors.",United States,1996-10-16,1
"NEXT Future Transportation, Inc.","A MASS-TRANSPORTATION AND GOODS-MOVEMENT COMPANY

We aim to provide for ease of commuter transit, seamlessly from door-to-door, such that the burden of daily transit disappears.
Our solution provides for optimization of existing infrastructure such as roadways and freeways.
We are creating the world's first on-demand mass transit system. Our autonomous pods can pick up passengers. Our system of dynamic-connect, allows pods to become ""bus-trains"" that elastically combine on the highway. Passengers then are directed to individual pods, that disconnect dynamically and drop each passenger to their preferred destination.

Passengers can carry on with other activities during transit, enabled by specialized service pods.",United States,2015-02-27,0
Nüshu - Elas por Elas,"Nüshu was created to interconnect passengers and women drivers, providing tranquility and safety to all. Iara Pedro founded it in November 2016, with its headquarters in São Paulo in Brazil.",Brazil,2016-11-01,2
BizSlate,"BizSlate’s award-winning, cloud-based business management solution enables small- and mid-sized distribution and manufacturing businesses (SMBs) to compete more effectively, reduce operational costs, and gain greater visibility into their supply chain. Unlike most other systems for small and mid-sized businesses that start as accounting applications, BizSlate’s solution is designed from the supply chain and operations process inward. The result is a revolutionary approach that provides proprietary capabilities for solving real-world supply chain problems faced by emerging businesses. BizSlate is easy and inexpensive to implement, easy to learn and use, and offers growing businesses tremendous, cost-effective operational improvements. BizSlate improves the relationship between your customers, orders, and inventory, leading to increased revenue, increased profitability, and improved control over operational and inventory costs.
BizSlate uniquely bridges the gap of large enterprise ERPs with ease-of-use, affordability, and mobility, finally providing small businesses with the type of system they need to succeed, let alone survive.  BizSlate ERP is designed by a management team with over 4 decades of ERP and supply chain experience, coupled with guidance of a customer steering committee.  Every feature of BizSlate ERP break the mold of out-dated ERP methodologies, and gets into the mind of the end user.  Instead of replacing QuickBooks, BizSlate integrates with QuickBooks and converts it into an enterprise application, eliminating a huge barrier of adoption and easing the process of implementing an ERP.

Preparing to launch BizSlate into production, the company has already established a disruptive reputation, and has won 3 awards.",United States,2011-11-18,0
Hammerhead,Hammerhead guides cyclists through their ride and analyzes their performance afterwards.,United States,2013-11-30,1
M&W Logistics Group,"The M&W Logistics Group is a third party logistics company that has been serving companies across the nation for over 35 years. 

We provide customized supply chain solutions that include, but are not limited to: public warehousing, asset based truckload transportation, food grade warehousing, distribution, and logistics management. The transportation and warehousing team at M&W truly cares about the supply chain and logistics needs of our customers. We understand that our ability to survive and prosper is dependent upon meeting the logistics and warehousing needs of our customers. Therefore, building long-term customer relationships based on service, information management and contractual flexibility has contributed to our continued success and growth in the 3PL industry.",United States,1972-01-01,0
Sokohali,"Sokohali is a delivery network that seeks to let sellers and shippers deliver goods constantly from any origin to any destination in the world, by renting the facilities and services of other members on the network. Sokohali provides shippers and sellers the digital tools and documentation they need for flexible and competitive delivery services on the Sokohali network. Sokohali’s current regional focus is Africa, connecting delivery businesses in African countries and linking them up with North America, Europe and China.",Nigeria,2016-06-01,0
AutoGate Systems Distributors,AutoGate Systems Distributors has been directly and exclusively focused on automatic entry systems since 1990. Your driveway entry gate is the “New Front Door” and our IP based access control system gives you full control of your gate from the comfort of your smart phone.,United States,1990-01-01,1
Mobile Solutions for Construction,"Mobile Solutions for Construction is a provider of BIM-compatible construction management platform. It offers solutions for performing construction quality checks, health & safety management, monitoring of field activities, field inspections, among others. It enables users to verify designs & construction by matching with the provided BIM deigsns, predicting errors, performing surveys, creating reports, and more.",Russian Federation,2013-01-01,2
Webber Group,Webber Group specializes in the construction of intelligent infrastructure that improves the communities in which we live.,United States,1963-01-01,0
SupplyHound,"SupplyHound is a marketplace for the delivery of construction materials. We help contractors shortcut the resource intensive process of getting materials on-site. Contractors use SupplyHound to keep skilled labor on the job, increasing productivity and profits. Vendors use SupplyHound to reduce their cost of sales and improve customer satisfaction.",United States,2018-11-01,2
Shiptimize,"Shiptimize changes the way online stores arrange logistics. Our plugins, app and API allows ecommerce owners to ship faster, cheaper, flexible with multiple carriers and receive top level customer support at the same time.",Portugal,2017-09-01,0
Builterra,"Builterra is a software solution for the management of construction projects. The solution connects users across the entire construction project and is targeted at field inspectors, project managers, engineers, contractors, owners, among others. It enables them to manage the various phases such as bidding, estimation, data collection from BIM, payment management, inspection, reporting, and more. Some of its clients include TACC Developments, GHD, Associated Engineering, Aecon, among others.",Canada,2016-01-01,2
oferecer.com.br,"Oferecer.com.br is a platform for the negotiation of purchases for civil construction. With it people can create quotations and send to all the suppliers of the base. After the closing of the purchase, the logistics and all other negotiated conditions are made straight to the supplier. The company's business model is based on cashback. After receiving the confirmation, the company gives users 30% back on the sales commission. It does not charge membership fee, deployment, nor monthly fees.

Oferecer.com.br was founded on 2018 and is headquartered in João Pessoa, Paraíba, Brazil.",Brazil,2018-01-01,2
